Name	ScopeViewControl	
File	C:\Users\TwinCat\Desktop\PLC-增长阶跃时间与阶跃幅值用于参数辨识-20190703\TwinCAT Measurement Project1\Scope YT Project.tcscope	
StartRecord	132066853847655000	2019年7月4日	11:43:04
EndRecord	132066853868190000	2019年7月4日	11:43:06


Name	Axis1_Act_Position	Name	Axis1_Tar_Position	Name	Axis1_Act_Velocity	Name	Axis1_Act_Torque	Name	Axis1_Act_Velocity_Rpm	Name	Cv	Name	Ca	Name	E	Name	Ep	Name	Z1	Name	Z1_Old	Name	Z1_Old_Temp	Name	Z2	Name	Z3	Name	TarPos	Name	ActPos	Name	Axis1_Tar_Torque	Name	x1_Pos	Name	x1_Pos_Old	Name	x2_Pos	Name	x2_Pos_Old	Name	E1	Name	E2	
NetId	192.168.12.72.1.1	NetId	192.168.12.72.1.1	NetId	192.168.12.72.1.1	NetId	192.168.12.72.1.1	NetId	192.168.12.72.1.1	NetId	192.168.12.72.1.1	NetId	192.168.12.72.1.1	NetId	192.168.12.72.1.1	NetId	192.168.12.72.1.1	NetId	192.168.12.72.1.1	NetId	192.168.12.72.1.1	NetId	192.168.12.72.1.1	NetId	192.168.12.72.1.1	NetId	192.168.12.72.1.1	NetId	192.168.12.72.1.1	NetId	192.168.12.72.1.1	NetId	192.168.12.72.1.1	NetId	192.168.12.72.1.1	NetId	192.168.12.72.1.1	NetId	192.168.12.72.1.1	NetId	192.168.12.72.1.1	NetId	192.168.12.72.1.1	NetId	192.168.12.72.1.1	
Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	
SampleTime[ms]	0.25	SampleTime[ms]	0.25	SampleTime[ms]	0.25	SampleTime[ms]	0.25	SampleTime[ms]	0.25	SampleTime[ms]	0.25	SampleTime[ms]	0.25	SampleTime[ms]	0.25	SampleTime[ms]	0.25	SampleTime[ms]	0.25	SampleTime[ms]	0.25	SampleTime[ms]	0.25	SampleTime[ms]	0.25	SampleTime[ms]	0.25	SampleTime[ms]	0.25	SampleTime[ms]	0.25	SampleTime[ms]	0.25	SampleTime[ms]	0.25	SampleTime[ms]	0.25	SampleTime[ms]	0.25	SampleTime[ms]	0.25	SampleTime[ms]	0.25	SampleTime[ms]	0.25	
SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	
SymbolName	MAIN.Axis1_Act_Position	SymbolName	MAIN.Axis1_Tar_Position	SymbolName	MAIN.Axis1_Act_Velocity	SymbolName	MAIN.Axis1_Act_Torque	SymbolName	MAIN.Axis1_Act_Velocity_Rpm	SymbolName	MAIN.Cv	SymbolName	MAIN.Ca	SymbolName	MAIN.E	SymbolName	MAIN.Ep	SymbolName	MAIN.Z1	SymbolName	MAIN.Z1_Old	SymbolName	MAIN.Z1_Old_Temp	SymbolName	MAIN.Z2	SymbolName	MAIN.Z3	SymbolName	MAIN.AXIS1.TarPos	SymbolName	MAIN.AXIS1.ActPos	SymbolName	MAIN.Axis1_Tar_Torque	SymbolName	MAIN.x1_Pos	SymbolName	MAIN.x1_Pos_Old	SymbolName	MAIN.x2_Pos	SymbolName	MAIN.x2_Pos_Old	SymbolName	MAIN.E1	SymbolName	MAIN.E2	
SymbolComment		SymbolComment		SymbolComment		SymbolComment		SymbolComment		SymbolComment	差分速度	SymbolComment	差分加速度	SymbolComment	位置误差	SymbolComment	位置环当前误差	SymbolComment	一阶观测量:角度	SymbolComment		SymbolComment	备份	SymbolComment	二阶观测量:角速度	SymbolComment	三阶观测量:角加速度	SymbolComment	指令位置,单位:one round	SymbolComment	实际位置,单位:one round	SymbolComment		SymbolComment		SymbolComment		SymbolComment		SymbolComment		SymbolComment		SymbolComment		
IndexGroup	61472	IndexGroup	61488	IndexGroup	61472	IndexGroup	61472	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	61488	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	
IndexOffset	513036	IndexOffset	513096	IndexOffset	513032	IndexOffset	512030	IndexOffset	513040	IndexOffset	513544	IndexOffset	513560	IndexOffset	514432	IndexOffset	513472	IndexOffset	514352	IndexOffset	514360	IndexOffset	514368	IndexOffset	514376	IndexOffset	514392	IndexOffset	513224	IndexOffset	513192	IndexOffset	513094	IndexOffset	514320	IndexOffset	514328	IndexOffset	514336	IndexOffset	514344	IndexOffset	514504	IndexOffset	514512	
Data-Type	INT32	Data-Type	INT32	Data-Type	INT32	Data-Type	INT16	Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64	Data-Type	INT16	Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64	
VariableSize	4	VariableSize	4	VariableSize	4	VariableSize	2	VariableSize	8	VariableSize	8	VariableSize	8	VariableSize	8	VariableSize	8	VariableSize	8	VariableSize	8	VariableSize	8	VariableSize	8	VariableSize	8	VariableSize	8	VariableSize	8	VariableSize	2	VariableSize	8	VariableSize	8	VariableSize	8	VariableSize	8	VariableSize	8	VariableSize	8	
